value,attribute,attribute/id,display_type,create_variant
Citrus Blueberry Freeze (Blueberry Lemon Freeze),,,,
Citrus Delight Ice,,,,
Citrus Medley,,,,
Citrus Peach,,,,
"Citrus Sorbet ""VTR""",,,,
Citrus Sorbet (VTR),,,,
Citrus Strawberry Ice,,,,
Classic,,,,
Classic Chocolate Crepe,,,,
Classic Menthol,,,,
Classic Tobacco,,,,
Clear Emerald,,,,
"Clear, Cool Mint, Menthol",,,,
Clear/Flavorless,,,,
Clementine Citrus Mango Ice,,,,
Coconut Cake,,,,
Coconut Limeade Ice,,,,
Coffee & Ice Cream,,,,
Coffee Cookie Crunch,,,,
Coffee Donuts,,,,
Coffee Milk,,,,
Coffee Tobacco,,,,
Cola Freeze,,,,
Cola Icy,,,,
Cookie Frappe,,,,
Cool Blue Frost,,,,
Cool Melon,,,,
Cool Menthol,,,,
"Cool Mint, Frozen Banana, Green Apple",,,,
Cosmic Blast,,,,
Cotton Candy/Pink,,,,
Cotton Carnival,,,,
Cotton Clouds,,,,
Cotton Fluff,,,,
Cran Apple,,,,
Cran Apple Iced,,,,
Cream Cake,,,,
Cream Cookie,,,,
Creamsicle,,,,
Creamy Crunch,,,,
Creamy Melon Ice,,,,
Creamy Strawberry,,,,
Creed Rose,,,,
Crimson Crush No. 1,,,,
Crispy Treat,,,,
Crunch Berry,,,,
Crunch Toast,,,,
Cuban (Tobacco),,,,
Cubano,,,,
Cubano Black,,,,
Cucumber Ice,,,,
Cucumber Mint,,,,
Cucumber Watermelon Chilled,,,,
Custard Cookie,,,,
Custard Graham,,,,
Custard Tobacco,,,,
Dark Side,,,,
Desert Tobacco,,,,
Devil's Punchbowl,,,,
Devil's Punchbowl Ice,,,,
Dew Berry,,,,
Dew Berry Iced,,,,
Dew Drop,,,,
Dew Drop Iced,,,,
Dewberry Cream,,,,
Dewberry Iced,,,,
Diamond Ice,,,,
Double Apple (Uniapple),,,,
Double Apple Shisha,,,,
Double Berry,,,,
Double Mango Ice -,,,,
Dragon Lychee Ice,,,,
Dragon Melon,,,,
Dragon Nana,,,,
Dragonberry Cotton Clouds,,,,
Dragonfruit Lemonade,,,,
Dragonfruit Watermelon,,,,
Dragonfruit Watermelon Ice,,,,
Dragonthol,,,,
Drops,,,,
Drops Menthol,,,,
Dry Tobacco,,,,
Dulce De Tobacco,,,,
Dvnk,,,,
EZ Duz It,,,,
EZ Duz It on Ice,,,,
Electric Apple Candy,,,,
Energy Drank,,,,
Energy Ice,,,,
Esco Bar/Fruitia Mesh (Dispo) (5000Puff)(12mL) -White Gummy,,,,
Eureka Ice (Yellow Blue),,,,
Extreme Mint Iced,,,,
Ez Duz It,,,,
Ez Duz It on Ice,,,,
FTC (Krunch),,,,
Fairgrounds,,,,
Farleys Gnarley Sauce Iced Out,,,,
Feijoa Pineapple Guava,,,,
Fire Man,,,,
Fizzy Cola Blast,,,,
Fizzy Lemon,,,,
Fizzy Lemonade,,,,
Flavor Free,,,,
Flavor: Cool Mint,,,,
Flavor: Pink Punch Lemonade,,,,
Flavorless,,,,
Flow,,,,
Forbidden Apple,,,,
French Toast,,,,
French Vanilla,,,,
Fried Eye Scream,,,,
Frooty Booty,,,,
Frooty Pebbles,,,,
Frostbite Menthol,,,,
Frosted Cronut,,,,
Frosted O's,,,,
Frozen Berries,,,,
Frozen Hulk Tears Straw-Melon Chew,,,,
Frozen Lush,,,,
Frozen Mango Strawberry,,,,
"Frozen Mango, Frozen Grape, Frozen Banana",,,,
Frozen Mint,,,,
Frozen Pineapple,,,,
Frozen Sour Belts,,,,
Frozen Watermelon Straw-Melon Chew,,,,
"Fruit Blast ""Fruit Punch""",,,,
Fruit Bomb,,,,
"Fruit Crisp ""American Dream""",,,,
Fruit Mix Iced,,,,
Fruit Punch Berry,,,,
Fruit Punch Berry Ice,,,,
Fruity,,,,
Fruity Bears Freeze,,,,
Fruity Pebz,,,,
Fruity Worms,,,,
Fuji,,,,
Fuji Apple Grape,,,,
Fuji Apple Strawberry Nectarine,,,,
Fuji Pear Mangoberry,,,,
Funfetti,,,,
Funnel Cake,,,,
Fuse,,,,
Fusion,,,,
Fuzzy Grape,,,,
Georgia Peach Freeze,,,,
Gingerbread Crunch,,,,
Glacial Mint,,,,
Glazed Donut,,,,
Glazed Donuts,,,,
Gold Kiwi Ice,,,,
Golden Custard,,,,
Golden Maple,,,,
Golden Peach Pineapple,,,,
Gooey Gummy,,,,
Grape Aloe,,,,
Grape Apple Aloe,,,,
Grape Apple Aloe Iced,,,,
Grape Apple Ice,,,,
Grape Apple Iced,,,,
Grape Berries Ice,,,,
Grape Berry,,,,
Grape Bubble Gum,,,,
Grape Chew Freeze Candy,,,,
Grape Drank,,,,
Grape Drank on Ice,,,,
Grape Frozty,,,,
Grape Iced,,,,
Grape Icy,,,,
Grape Ropes,,,,
Grape Strawberry,,,,
Grape Strawberry Iced,,,,
Grapeberry Splash,,,,
Grapeberry Splash (Grapeberry),,,,
Grapefruit Ice,,,,
Grapefruit Orange Mango,,,,
Grapefruit Orange Mango Iced,,,,
Grapple,,,,
Grapple Berry Ice,,,,
Grappleberry,,,,
Green Aloe Apple,,,,
Green Apple Straw-Melon Chew,,,,
Green Ghost,,,,
Green Pucker (Green Apple Ice),,,,
Green Pucker (Green Apple),,,,
Green Voodoo,,,,
Groovin Aloe Grape,,,,
Groovy Grape Passionfruit Iced,,,,
Guava Freeze,,,,
Guava Lava,,,,
Guava Lava Iced,,,,
Guava Obession,,,,
Guava Passionfruit (Pink Guava),,,,
Guava Passionfruit Iced (Pink Guava Iced),,,,
Gummy Bears,,,,
Gummy Tarts,,,,
Happy End Blue,,,,
Happy End Pink,,,,
Harambe,,,,
Hard Apple,,,,
Harvest,,,,
Hawaiian Berry on Ice,,,,
Hawaiian Gummi,,,,
Hawaiian Gummii,,,,
Hawaiian POG,,,,
Hawaiian POG Ice,,,,
Hawaiian Pog Ice,,,,
Hazelnut Cream,,,,
Heisenberg,,,,
Heisenberg Berry,,,,
Heisenberg Berry Menthol,,,,
Heisenberg Lemon Sour,,,,
Heisenberg Lemon Sour Menthol,,,,
Heisenberg Menthol,,,,
Heisenberg Sour Apple,,,,
Heisenberg Sour Apple Menthol,,,,
Ho! Ho! Gingerbread,,,,
Honey Crunch,,,,
Honeydew,,,,
Honeydew Ice,,,,
Honeydew Melon,,,,
Honeydew Strawberry,,,,
Huckleberry Pear Acai,,,,
Hulk Tears Blue Razz Straw-Melon Chew,,,,
Hulk Tears Straw-Melon Chew,,,,
Ice Apple,,,,
Ice Blast,,,,
Ice Blueberry Lemon,,,,
Ice Brain Freeze,,,,
Ice Cherry Lemon,,,,
Ice Cream,,,,
Ice Guava Berries,,,,
Ice Peach Mango,,,,
Ice Watermelon,,,,
Iced Apple Bomb,,,,
Iced Apple Watermelon,,,,
Iced Berry Bomb,,,,
Iced Blackberry Lemonade,,,,
Iced Blue Punch Berry,,,,
Iced Blue Razz,,,,
Iced Feijoa Pineapple,,,,
Iced Forbidden Berry,,,,
Iced Grape,,,,
Iced Grapefruit Citrus Sugarberry,,,,
Iced Mango Bomb,,,,
Iced Melons,,,,
Iced Milk of The Poppy,,,,
Iced Nectarine Pitaya Pear,,,,
Iced Out,,,,
Iced Pango,,,,
Iced Pineapple Express,,,,
Iced Pink Punch Berry,,,,
Iced Pucker Punch,,,,
Iced Purple Bomb,,,,
Iced Rain Bops,,,,
Iced Straw Guaw,,,,
Iced Strawberry Kiwi,,,,
Iced Thai Apple Melon,,,,
Iced Thai Apple Melon Razz,,,,
Iced Trapple,,,,
Iced Watermelon Gummy,,,,
Iced Watermelon Hulaberry Lime,,,,
Iced White Gummy,,,,
Icy Bites,,,,
Icy Blast,,,,
Icy Blue Razz,,,,
Icy Fresh (Mint Ice),,,,
Icy Mango,,,,
Icy Mineral Water,,,,
Icy Tart Green Apple Strawberry Peach,,,,
Illuminati,,,,
Island Colada,,,,
Island Cooler,,,,
Island Man,,,,
Island Man Iced,,,,
Island Orange,,,,
Island Orange Iced,,,,
Island Tiki Punch,,,,
Italian Espresso Custard,,,,
Java,,,,
