value,attribute,attribute/id,display_type,create_variant
Strawberry Mango Nectarine Iced,,,,
Strawberry Melon Apple,,,,
Strawberry Melon Ice,,,,
Strawberry Menthol,,,,
Strawberry Meringue,,,,
Strawberry Milk,,,,
Strawberry Mint,,,,
Strawberry Nectar,,,,
Strawberry Orange Banana,,,,
Strawberry Parfait,,,,
Strawberry Pastry,,,,
Strawberry Peach,,,,
Strawberry Peach Ice,,,,
Strawberry Pina ice,,,,
Strawberry Roll Up,,,,
Strawberry Rolls,,,,
Strawberry Rolls Ice,,,,
Strawberry Scoops,,,,
Strawberry Vanilla,,,,
Strawberry Watermelon Bubblegum,,,,
Strawmango Iced,,,,
Strawmelon Apple Ice,,,,
Strawmelon Burst,,,,
Strawmelon Raspberry,,,,
Strawnana Ice,,,,
Strazz Candy,,,,
Strizzy,,,,
Subliminal,,,,
Sucker Punch,,,,
Sugar Rush,,,,
Summer Splash Freeze,,,,
Sundance,,,,
Super Cereal,,,,
Super Grape,,,,
Super Grape Ice,,,,
Super Melon,,,,
Swamp Thang,,,,
Sweet Citrus,,,,
Sweet Cream,,,,
Sweet Peach Soda,,,,
Sweet Strawberry,,,,
Sweet Tobacco,,,,
Sweet Tobacco (Caramel),,,,
Sweet Tobacco Cream,,,,
Swell,,,,
TNT,,,,
TNT Ice,,,,
TNT Tobacco,,,,
TNT Tobacco Menthol,,,,
Tango Twist,,,,
Tango Twist Freeze,,,,
Tangy Apple Splash,,,,
Tart Watermelon Freeze (Watermelon Lime Freeze),,,,
Thai Apple Melon Razz,,,,
The Man,,,,
The Mint Leaf,,,,
The Raging Donut,,,,
Thirst Ice,,,,
Tobacco Gold No.1,,,,
Tobacco Menthol,,,,
Tobacco Mint,,,,
Tobacco Platinum No. 1,,,,
Tobacco Silver No. 1,,,,
Toffee Vanilla Custard,,,,
Tortoise on Ice,,,,
Trapple,,,,
Trapple Iced,,,,
Trollz Twist,,,,
Tropic Mango,,,,
Tropic Passion,,,,
Tropic Thunder,,,,
Tropical Breeze,,,,
Tropical Crush,,,,
Tropical Fruit Smoothie,,,,
Tropical Gummy,,,,
Tropical Ice,,,,
Tropical Mango,,,,
Tropical Mixer,,,,
Tropical Tango,,,,
Tropical Tango Freeze,,,,
Tropicali,,,,
Turkish Tobacco,,,,
Twisted Cherry,,,,
Twisted Tangy,,,,
Unflavored,,,,
Unicorn Frappe on Ice,,,,
Unicorn Milk,,,,
Unicorn Tears Cookie,,,,
Unicorn Treats,,,,
VCT,,,,
VCT BOLD,,,,
VTR,,,,
Vanilla Almond Custard,,,,
Vanilla Almond Tobacco,,,,
Vanilla Bean,,,,
"Vanilla Butterscotch ""Hop Scotch""",,,,
Vanilla Coffee Ice,,,,
Vanilla Crumble -,,,,
Vanilla Crunch,,,,
Vanilla Tart,,,,
Vanilla Tobacco,,,,
Very Berry Hibiscus,,,,
Very Berry Hibiscus Iced,,,,
Vimto Ice,,,,
Virus,,,,
WTF Strawberry Sour Belts,,,,
Warden (Hazelnut Pecan Butter),,,,
Watermango Peach,,,,
Watermelon Apple,,,,
Watermelon Apple Ice,,,,
Watermelon Apple Iced,,,,
Watermelon Apple Pear,,,,
Watermelon Apple Pear Iced,,,,
Watermelon Berry,,,,
Watermelon Berry Iced,,,,
Watermelon Bubblegum Gelato,,,,
Watermelon Bubblegum Ice,,,,
Watermelon Cherry Ice,,,,
Watermelon Drop Freeze,,,,
Watermelon Gummy,,,,
Watermelon Ice Cream,,,,
Watermelon Iced,,,,
Watermelon Lime,,,,
Watermelon Lime Freeze,,,,
Watermelon Patch Freeze,,,,
Watermelon Punch,,,,
Watermelon Punch Ice,,,,
Watermelon Remix Ice,,,,
Watermelon Rush,,,,
Watermelon Rush Ice,,,,
Watermelon Rush on Ice,,,,
Watermelon Skittz,,,,
Watermelon Slushee,,,,
Watermelon Strawberry,,,,
Watermelon Strawberry -,,,,
Watermelon Strawberry Freeze,,,,
Watermelon Strawberry Ice,,,,
Watermelon Wave,,,,
Whisky Cigar,,,,
White Chocolate Mocha,,,,
White Clouds Chew,,,,
White No. 1,,,,
White Peach Razz,,,,
White Peach Strawberry,,,,
White Peach Strawberry Iced,,,,
Wigglyville (Spearmint),,,,
Wild Berry Dew,,,,
Winter Green,,,,
Wld Wtrmn,,,,
Worms Ice,,,,
X-Rated,,,,
XXX And Chill,,,,
Xmas Mint,,,,
Yellow Green Red Mango,,,,
Yellow Green Red Mango Iced,,,,
Yummi B,,,,
Yummi Blue Raspberry,,,,
Yummi Grape,,,,
Yummi Grape Frozty,,,,
Yummi Mango,,,,
Yummi Mango Frozty,,,,
Yummi Watermelon,,,,
Yummi Watermelon Frozty,,,,
Yummy Gummy,,,,
Zero Degrees (Subzero),,,,
0,,__export__.product_attribute_40_7590b0f7,,
12,,,,
15,,,,
18,,,,
20,,,,
24,,,,
25,,,,
28,,,,
3,,,,
30,,,,
35,,,,
36,,,,
40,,,,
40-50,,,,
45,,,,
48,,,,
50,,,,
55,,,,
6,,,,
10,,__export__.product_attribute_44_243795ae,,
100,,,,
12,,,,
120,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
24,,,,
25,,,,
30,,,,
4,,,,
4.5,,,,
6,,,,
60,,,,
7,,,,
8,,,,
9,,,,
7DZE,,__export__.product_attribute_31_a7331468,,
BDVC,,,,
BLKO,,,,
DMVW,,,,
DOTM,,,,
DVPO,,,,
EFST,,,,
FNST,,,,
FRFM,,,,
FRMX,,,,
GKVP,,,,
HMBL,,,,
HRZN,,,,
IVPS,,,,
LMRY,,,,
LSTV,,,,
MIPD,,,,
MISC,,,,
MLVS,,,,
OXBR,,,,
OXVA,,,,
PATA,,,,
RCKY,,,,
RUTH,,,,
SIGE,,,,
STRM,,,,
SURN,,,,
TBCO,,,,
UWLL,,,,
VDXD,,,,
VNDY,,,,
VOPO,,,,
VPRB,,,,
VRSO,,,,
7-Color,,__export__.product_attribute_34_590deacf,,
7-Color Shell,,,,
7-Color Spray,,,,
Amaretto Brown,,,,
Aquamarine,,,,
Baby Strip,,,,
Basalt Gray,,,,
Berry Purple,,,,
Black Carbon,,,,
Black Shell,,,,
Black Wood,,,,
Black/White,,,,
Blue Haze,,,,
Blue/Black,,,,
Brown Leather,,,,
Bubble,,,,
Camo Red,,,,
Camo Silver,,,,
Clear Ruby,,,,
Clear Turquoise,,,,
Copper Red,,,,
Cyan,,,,
Frozen Aurora,,,,
Gold Carbon Fiber,,,,
Green/Red,,,,
Grey Leather,,,,
Grey Splicing Leather,,,,
IML 7-Color Cobra,,,,
IML Blue Cobra,,,,
IML White Cobra,,,,
Ice Green,,,,
Ice Purple,,,,
Iridescent,,,,
Iris Purple,,,,
Jet Black,,,,
Lagoon Blue,,,,
Lake Blue,,,,
Lake Green,,,,
Lumina,,,,
Macaroon Blue,,,,
Matte Blue,,,,
Matte Gray,,,,
Matte Gun Metal,,,,
Matte Red,,,,
Mineral Green,,,,
Night Black,,,,
Phantom Blue,,,,
Pink Black,,,,
Pink Survivor,,,,
Purple Pink,,,,
Purple Wood,,,,
Race Track,,,,
Red Carbon Fiber,,,,
SS/Black,,,,
Serpentine Yellow,,,,
Silver Green,,,,
Silver Textured Carbon,,,,
Sky Purple,,,,
Sparkling Purple,,,,
Spiral Grey,,,,
Spray Black,,,,
Starry Night,,,,
Sunrise Orange,,,,
Sunrise Sky,,,,
Tiffany Blue Carbon Fiber (Peacock),,,,
Tiffany Blue Shell (Peacock),,,,
Titanium Silver,,,,
Twilight Gold,,,,
Twilight Purple,,,,
V12-T12,,,,
White/Blue,,,,
Yellow/Purple,,,,
0.12,,__export__.product_attribute_43_fabbbbe0,,
0.14,,,,
0.15,,,,
0.15ohm,,,,
0.16,,,,
0.2,,,,
0.23,,,,
0.25,,,,
0.2ohm,,,,
0.3,,,,
0.32,,,,
0.35,,,,
0.4,,,,
0.45,,,,
0.45ohm,,,,
0.5,,,,
0.55,,,,
0.6,,,,
0.7,,,,
0.7ohm,,,,
0.8,,,,
0.9,,,,
1.0,,,,
1.0ohm,,,,
1.2,,,,
1.4,,,,
1.5,,,,
1.8,,,,
Ceramic,,__export__.product_attribute_32_992dc97f,,
Conical Mesh,,,,
Dual Mesh,,,,
M4 Mesh,,,,
Mesh,,,,
Mesh MTL,,,,
NX2 Mesh,,,,
RPM 3 Coil,,,,
Regular,,,,
SS316 X1 Mesh,,,,
Stick Mesh,,,,
TX1,,,,
TX2,,,,
UN2 Mesh,,,,
UN2 Single Mesh,,,,
UN2-2 Dual Mesh,,,,
UN2-3 Triple Mesh,,,,
X1 Mesh,,,,
X2 Mesh,,,,
X3 Mesh,,,,
0.15ohm,,__export__.product_attribute_43_fabbbbe0,,
0.7ohm,,,,
1.0ohm,,,,
1.1ohm,,,,
1.2ohm,,,,
1.4ohm,,,,
P0.15 XM,,__export__.product_attribute_32_992dc97f,,
PnP-VM6,,,,
UN2 Mesh-H,,,,
V8-T10,,,,
V8-X4,,,,
DC,,__export__.product_attribute_47_41ee3b41,,
DTL,,,,
Strip,,,,
3-Pack,,__export__.product_attribute_42_177d0f35,,
650,Battery Mah,,radio,instantly
1,Pack Quantity,,radio,instantly
2,,,,
E2,Model,,select,instantly
L7,,,,
L8,,,,
M-Triple,,,,
M1,,,,
M4 V2,,,,
M6,,,,
M7,,,,
M8,,,,
PnP II,,,,
RPM 2,,,,
Sector Mesh,,,,
T8,,,,
VVC-30,,,,
X1,,,,
X3,,,,
X4,,,,
was E1,Note,,radio,instantly
DL,Vaping Style,,radio,instantly
DTL,,,,
MTL,,,,
3-Pack,Pack Size,,radio,instantly
Quartz,Coil Material,,radio,instantly
Carbon Fiber,Material,,radio,instantly
Ka1 Mesh,,,,
Leather,,,,
Resin,,,,
Stabwood,,,,
Stainless Steel,,,,
Cobra,Pattern,,radio,instantly
Discontinued,Status,,radio,instantly
V1,Version,,radio,instantly
DTL,Style,,radio,instantly
MTL,,,,
5ml,Capacity (mL),,radio,instantly
DTL,Draw Type,,radio,instantly
