template_key,product_name,volume_ml,category,price,variant_count,template_id
ALTZ - Excision (LIQ FB)(60mL)|60.0,ALTZ - Excision (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,7.25,11,TPL_0027
AMVH - One Hit Wonder (LIQ FB)(100mL) TF-Nic|100.0,AMVH - One Hit Wonder (LIQ FB)(100mL) TF-Nic,100.0,All / Saleable / E-Juice,6.5,16,TPL_0028
AMVH - One Hit Wonder (LIQ Salt)(30mL) TF-Nic|30.0,AMVH - One Hit Wonder (LIQ Salt)(30mL) TF-Nic,30.0,All / Saleable / E-Juice,6.0,1,TPL_0029
ARFY - Air Factory (LIQ FB)(60mL)|60.0,ARFY - Air Factory (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,5.182857142857143,14,TPL_0030
ARFY - Air Factory (LIQ Salt)(30mL)|30.0,ARFY - Air Factory (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.472222222222222,18,TPL_0031
AXIO - Thursday (Dispo) (30000Puff)(22mL)|22.0,AXIO - Thursday (Dispo) (30000Puff)(22mL),22.0,All / Saleable / Disposable E-Cig,7.5,1,TPL_0032
AXIO - Yogi (LIQ FB)(60mL)|60.0,AXIO - Yogi (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,5.75,22,TPL_0033
AXIO - Yogi (LIQ Salt)(30mL)|30.0,AXIO - Yogi (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.75,13,TPL_0034
BDLB - Bad Drip (LIQ FB)(60mL)|60.0,BDLB - Bad Drip (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,5.5,3,TPL_0035
BDVC - Beard (LIQ FB)(100mL) The One|100.0,BDVC - Beard (LIQ FB)(100mL) The One,100.0,All / Saleable / E-Juice,5.5,3,TPL_0036
BDVC - Beard (LIQ FB)(120mL)|120.0,BDVC - Beard (LIQ FB)(120mL),120.0,All / Saleable / E-Juice,3.9292857142857143,14,TPL_0037
BDVC - Beard (LIQ FB)(60mL)|60.0,BDVC - Beard (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,4.5,9,TPL_0038
BDVC - Beard (LIQ Salt)(30mL) The Salty One|30.0,BDVC - Beard (LIQ Salt)(30mL) The Salty One,30.0,All / Saleable / E-Juice,5.0,4,TPL_0039
