sku,name,qty,price,category,product_name,flavor,nicotine_mg,volume_ml,template_key,template_id,variant_id
ONT037277,SWSS - Ligg Pro (Dispo) (5500Puff)(14mL) - Peach Ice 50mg,0.025,6.5,All / Saleable / Disposable E-Cig,SWSS - Ligg Pro (Dispo) (5500Puff)(14mL),Peach Ice,50.0,14.0,SWSS - Ligg Pro (Dispo) (5500Puff)(14mL)|14.0,TPL_0458,VAR_2850
ONT037284,SWSS - Ligg Pro (Dispo) (5500Puff)(14mL) - Strawberry Kiwi 50mg,0.025,6.5,All / Saleable / Disposable E-Cig,SWSS - Ligg Pro (Dispo) (5500Puff)(14mL),Strawberry Kiwi,50.0,14.0,SWSS - Ligg Pro (Dispo) (5500Puff)(14mL)|14.0,TPL_0458,VAR_2851
ONT022812,SZCL - GOAT (Dispo) (4000Puff)(8mL) - Aloe Grape 50mg,0.5,0.5,All / Saleable / Disposable E-Cig,SZCL - GOAT (Dispo) (4000Puff)(8mL),Aloe Grape,50.0,8.0,SZCL - GOAT (Dispo) (4000Puff)(8mL)|8.0,TPL_0459,VAR_2852
ONT022818,SZCL - GOAT (Dispo) (4000Puff)(8mL) - Mamba 50mg,1.0,0.5,All / Saleable / Disposable E-Cig,SZCL - GOAT (Dispo) (4000Puff)(8mL),Mamba,50.0,8.0,SZCL - GOAT (Dispo) (4000Puff)(8mL)|8.0,TPL_0459,VAR_2853
ONT004015,TBCO - Tobeco Super Tank (Coils)(5-Pack) - 0.5ohm,0.1,5.78,All / Saleable / Coil,,,,,None|nan,TPL_0347,VAR_2854
ONT007394,TBCO - Tobeco Super Tank (Coils)(5-Pack) - Mesh 0.5ohm,0.1,6.89,All / Saleable / Coil,,,,,None|nan,TPL_0347,VAR_2855
ONT021479,TNRD - 100 Club (LIQ FB)(100mL) - Tobacco 00mg,0.05,6.75,All / Saleable / E-Juice,TNRD - 100 Club (LIQ FB)(100mL),Tobacco,0.0,100.0,TNRD - 100 Club (LIQ FB)(100mL)|100.0,TPL_0462,VAR_2856
ONT021471,TNRD - Bora (LIQ FB)(100mL) - Sea King 03mg,0.05,6.75,All / Saleable / E-Juice,TNRD - Bora (LIQ FB)(100mL),Sea King,3.0,100.0,TNRD - Bora (LIQ FB)(100mL)|100.0,TPL_0463,VAR_2857
ONT021432,TNRD - Frozen Vape Co (LIQ FB)(100mL) - Frozen Berries 03mg,0.05,6.75,All / Saleable / E-Juice,TNRD - Frozen Vape Co (LIQ FB)(100mL),Frozen Berries,3.0,100.0,TNRD - Frozen Vape Co (LIQ FB)(100mL)|100.0,TPL_0464,VAR_2858
ONT017335,TNRD - It's Pixy (LIQ FB)(100mL) - Cucumber Watermelon Chilled 00mg,0.05,6.75,All / Saleable / E-Juice,TNRD - It's Pixy (LIQ FB)(100mL),Cucumber Watermelon Chilled,0.0,100.0,TNRD - It's Pixy (LIQ FB)(100mL)|100.0,TPL_0465,VAR_2859
